,fpr,tpr,thres,auc
76,0.2111111111111111,0.8055555555555556,0.23832929134368896,0.8827391975308643
77,0.21666666666666667,0.8055555555555556,0.23049436509609222,0.8827391975308643
78,0.21666666666666667,0.8083333333333333,0.2298605591058731,0.8827391975308643
79,0.21944444444444444,0.8083333333333333,0.22029300034046173,0.8827391975308643
80,0.21944444444444444,0.8111111111111111,0.21719324588775635,0.8827391975308643
81,0.225,0.8111111111111111,0.21453110873699188,0.8827391975308643
82,0.225,0.8166666666666667,0.20441649854183197,0.8827391975308643
83,0.23055555555555557,0.8166666666666667,0.20239977538585663,0.8827391975308643
84,0.23055555555555557,0.8222222222222222,0.2006855010986328,0.8827391975308643
85,0.25277777777777777,0.8222222222222222,0.17832288146018982,0.8827391975308643
86,0.25277777777777777,0.825,0.17682287096977234,0.8827391975308643
